Category: All categories

Region,abuse: (2014)
Vermont,100
West Virginia,94
Pennsylvania,92
South Dakota,91
Iowa,91
Alaska,91
Delaware,90
Maine,89
Kentucky,85
Wyoming,83
New Mexico,82
Rhode Island,81
Minnesota,81
Oklahoma,81
North Carolina,80
North Dakota,80
Montana,80
Missouri,79
Maryland,79
Wisconsin,78
Idaho,77
Arkansas,76
Alabama,76
Indiana,75
Massachusetts,75
Michigan,74
Utah,74
Tennessee,74
South Carolina,73
New Jersey,72
Nebraska,72
Connecticut,71
Kansas,71
New Hampshire,71
Ohio,71
Louisiana,71
District of Columbia,71
Illinois,69
Arizona,69
Florida,68
New York,68
Hawaii,66
Colorado,65
Washington,65
California,64
Mississippi,64
Texas,63
Georgia,62
Virginia,62
Nevada,62
Oregon,49
