Category: All categories

Region,abuse: (2007)
Iowa,100
West Virginia,96
Maine,95
South Dakota,89
North Dakota,88
Vermont,87
Wyoming,84
New Mexico,83
Arkansas,81
Oklahoma,80
Alaska,80
Kentucky,78
Indiana,74
Nebraska,73
Idaho,73
Pennsylvania,73
Utah,72
Delaware,72
South Carolina,72
Hawaii,71
Montana,71
Mississippi,70
Rhode Island,69
Alabama,69
Michigan,67
Tennessee,66
Louisiana,65
Ohio,65
New Hampshire,65
Maryland,64
North Carolina,63
Missouri,62
New York,62
Oregon,62
Kansas,62
Wisconsin,61
Minnesota,60
Florida,59
Connecticut,58
Illinois,58
Nevada,56
Texas,55
California,55
Arizona,55
Virginia,53
Massachusetts,52
Colorado,52
Georgia,51
District of Columbia,51
New Jersey,49
Washington,48
