Category: All categories

Region,abuse: (2012)
Wyoming,100
West Virginia,99
Pennsylvania,93
Iowa,93
Vermont,88
Kentucky,87
Delaware,86
Maine,85
South Dakota,83
New Mexico,82
Wisconsin,81
Alaska,81
Indiana,80
Rhode Island,79
North Dakota,78
Michigan,77
Oklahoma,77
Arkansas,77
Maryland,77
Idaho,77
Missouri,77
Tennessee,76
North Carolina,75
South Carolina,74
Oregon,74
Montana,73
Connecticut,73
Mississippi,71
New Jersey,70
Nebraska,70
New Hampshire,70
Hawaii,70
Virginia,69
Arizona,68
Massachusetts,68
Utah,68
Alabama,68
Kansas,67
Texas,66
Ohio,66
Illinois,66
Florida,65
Georgia,65
New York,65
Louisiana,64
Colorado,64
Minnesota,64
California,61
District of Columbia,60
Washington,60
Nevada,56
