Category: All categories

Region,abuse: (2011)
West Virginia,100
Wyoming,96
Iowa,92
Kentucky,91
Pennsylvania,88
Maine,88
North Dakota,86
South Dakota,84
Vermont,84
Delaware,83
Idaho,80
Alaska,80
New Mexico,80
Indiana,78
Arkansas,78
North Carolina,77
Missouri,77
Oregon,77
Maryland,76
Rhode Island,76
Tennessee,75
New Hampshire,74
Mississippi,74
Wisconsin,74
Michigan,73
Nebraska,72
Hawaii,71
Oklahoma,70
New Jersey,70
Virginia,69
Montana,69
Ohio,69
Connecticut,69
Utah,67
Louisiana,67
South Carolina,67
Arizona,67
Minnesota,65
Massachusetts,65
Kansas,64
Florida,62
Colorado,62
District of Columbia,62
Alabama,62
New York,61
Illinois,60
Texas,59
Nevada,59
California,57
Washington,57
Georgia,56
