Category: All categories

Region,abuse: (2008)
West Virginia,100
Delaware,88
Iowa,88
North Dakota,85
Vermont,84
Wyoming,82
Kentucky,81
Arkansas,80
South Dakota,78
New Mexico,77
Idaho,77
Alaska,76
Maine,76
Oklahoma,70
Indiana,70
Michigan,70
North Carolina,70
Nebraska,69
Pennsylvania,68
Kansas,68
South Carolina,67
Rhode Island,67
Alabama,66
Montana,66
Mississippi,65
Utah,65
Hawaii,64
Louisiana,63
New Hampshire,62
Ohio,62
Missouri,61
Oregon,60
Florida,58
Illinois,58
Maryland,58
Tennessee,58
Wisconsin,58
Washington,57
Connecticut,56
Georgia,56
New York,56
New Jersey,56
Texas,55
Minnesota,54
Massachusetts,54
Arizona,51
Colorado,51
Nevada,51
California,46
District of Columbia,46
Virginia,41
