Category: All categories

Region,abuse: (2010)
West Virginia,100
Iowa,86
Delaware,79
Wyoming,74
North Dakota,74
South Dakota,73
Arkansas,73
Kentucky,72
Nebraska,70
Alaska,70
New Mexico,70
Maine,67
Michigan,66
Missouri,66
North Carolina,66
Pennsylvania,65
Utah,62
Indiana,61
Idaho,61
New Hampshire,61
South Carolina,61
Mississippi,60
Oklahoma,59
Rhode Island,58
Ohio,58
Maryland,58
Montana,58
Florida,58
Kansas,57
Hawaii,56
Louisiana,56
New York,56
Minnesota,56
Alabama,56
Oregon,55
Wisconsin,54
District of Columbia,54
Tennessee,54
Texas,52
Connecticut,52
Washington,50
Illinois,50
Colorado,50
New Jersey,49
Nevada,49
Massachusetts,48
Georgia,48
Arizona,46
Vermont,42
California,33
Virginia,28
