Category: All categories

Region,abuse: (2020)
Iowa,100
Pennsylvania,90
Vermont,86
Kentucky,85
West Virginia,85
North Dakota,82
Oregon,81
Alaska,81
Nebraska,80
Massachusetts,79
Missouri,79
District of Columbia,79
Oklahoma,78
Arkansas,78
South Dakota,78
Utah,77
Delaware,76
New Mexico,76
Tennessee,76
Wyoming,76
Illinois,76
Maine,76
Kansas,74
Virginia,74
Maryland,74
Michigan,73
Florida,73
Indiana,73
North Carolina,73
Minnesota,72
Arizona,72
Louisiana,72
New York,72
Colorado,71
Alabama,71
Connecticut,70
Nevada,70
Rhode Island,70
California,69
Washington,69
Ohio,68
Wisconsin,68
South Carolina,68
Montana,68
Hawaii,67
New Jersey,67
New Hampshire,66
Texas,66
Idaho,65
Mississippi,64
Georgia,63
