Category: All categories

Region,parents divorce: (2019)
Wyoming,
Delaware,
Nebraska,100
Kansas,96
New Hampshire,
North Dakota,
Iowa,87
Idaho,87
Vermont,
Missouri,84
Maine,
Arkansas,84
Wisconsin,81
West Virginia,
Indiana,81
Kentucky,78
Arizona,75
Rhode Island,75
Michigan,75
Georgia,75
Illinois,72
Minnesota,72
Oklahoma,72
Texas,72
Colorado,69
Tennessee,69
California,69
Mississippi,69
Alabama,69
Utah,69
Ohio,69
Connecticut,66
New Jersey,66
Massachusetts,66
Washington,66
Maryland,66
Montana,
Florida,63
Virginia,63
Nevada,63
Hawaii,63
North Carolina,63
South Carolina,60
Oregon,57
New York,57
Pennsylvania,54
District of Columbia,
Louisiana,51
Alaska,
New Mexico,
South Dakota,
