Category: All categories

Region,parents divorce: (2014)
North Dakota,
Indiana,100
Arkansas,100
Maine,
Mississippi,94
Vermont,
Utah,87
Delaware,
Minnesota,84
Missouri,82
Oklahoma,82
Maryland,79
Iowa,79
Wisconsin,76
Tennessee,74
New Jersey,74
Louisiana,74
Arizona,74
West Virginia,
Massachusetts,71
Connecticut,71
Ohio,69
Michigan,69
Illinois,66
Nebraska,66
Wyoming,
New Hampshire,
Kentucky,66
Pennsylvania,66
Alabama,66
Georgia,61
Texas,61
Nevada,61
North Carolina,58
Florida,58
Colorado,58
Hawaii,58
New York,56
Washington,56
South Carolina,56
California,53
Kansas,53
Rhode Island,53
District of Columbia,
Oregon,46
Alaska,
Virginia,38
Montana,
Idaho,35
New Mexico,
South Dakota,
