Category: All categories

Region,parents divorce: (2006)
New Hampshire,
Vermont,
Alabama,100
Kentucky,87
Nebraska,87
Ohio,82
Oklahoma,80
Louisiana,74
Massachusetts,68
Minnesota,65
Georgia,61
Kansas,57
Texas,55
Colorado,53
North Carolina,48
Michigan,48
Pennsylvania,48
California,46
Iowa,44
New York,44
Illinois,44
Oregon,42
Wisconsin,42
Utah,42
Florida,40
Arizona,40
Indiana,34
Nevada,34
Virginia,34
Missouri,31
Washington,27
South Carolina,25
Maryland,23
New Jersey,12
Alaska,
Arkansas,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Idaho,
Maine,
Mississippi,
Montana,
North Dakota,
New Mexico,
Rhode Island,
South Dakota,
Tennessee,
West Virginia,
Wyoming,
