Category: All categories

Region,parents divorce: (2016)
North Dakota,
South Dakota,
Kansas,100
Arkansas,100
Indiana,93
Nebraska,90
New Jersey,90
Minnesota,90
Maine,
New Hampshire,
West Virginia,
Kentucky,84
Utah,81
Wisconsin,81
Mississippi,78
Iowa,78
Massachusetts,75
Oklahoma,75
Connecticut,75
Ohio,75
Washington,75
Alabama,72
Missouri,72
Virginia,72
California,72
New Mexico,
Illinois,72
Maryland,72
Georgia,69
Hawaii,69
South Carolina,69
Colorado,69
Michigan,66
Tennessee,66
Vermont,
Arizona,66
District of Columbia,
North Carolina,63
Florida,63
Texas,63
Pennsylvania,63
Louisiana,60
Delaware,
Oregon,57
Rhode Island,57
Idaho,54
New York,54
Montana,
Nevada,51
Alaska,
Wyoming,
