Category: All categories

Region,parents divorce: (2012)
Wyoming,
West Virginia,
Delaware,
Utah,100
Indiana,100
South Dakota,
Nebraska,97
Alabama,87
Oklahoma,84
North Dakota,
Mississippi,84
New Jersey,84
Connecticut,82
Maine,
Tennessee,79
Oregon,76
Wisconsin,76
Missouri,74
Colorado,74
North Carolina,74
Iowa,74
Massachusetts,71
Pennsylvania,71
Ohio,71
Virginia,71
Kentucky,69
Idaho,69
Nevada,66
Michigan,66
Texas,66
California,64
Illinois,64
Georgia,64
Florida,64
Maryland,61
South Carolina,61
Rhode Island,61
Washington,58
Minnesota,58
Louisiana,58
Hawaii,58
Arizona,58
Montana,
District of Columbia,
New York,56
Kansas,53
New Mexico,
Arkansas,43
New Hampshire,
Alaska,
Vermont,
