Category: All categories

Region,parents divorce: (2011)
South Dakota,
Idaho,100
New Mexico,
Louisiana,86
Vermont,
North Dakota,
Arkansas,69
West Virginia,
Nebraska,64
Indiana,62
Kentucky,61
Utah,61
Michigan,57
Colorado,55
Wisconsin,55
South Carolina,55
North Carolina,54
Connecticut,52
Florida,52
Iowa,52
Alabama,50
Virginia,50
Kansas,50
Washington,49
New Jersey,49
Georgia,49
Mississippi,49
Arizona,49
Missouri,47
Oregon,47
District of Columbia,
Maryland,45
Illinois,45
Rhode Island,45
New Hampshire,
New York,42
Texas,42
Pennsylvania,42
Ohio,42
Massachusetts,40
Delaware,
Oklahoma,40
Nevada,38
Tennessee,38
California,38
Alaska,
Minnesota,35
Montana,
Maine,
Hawaii,
Wyoming,
