Category: All categories

Region,parents divorce: (2004)
Mississippi,100
Delaware,
Idaho,80
Arkansas,53
Nebraska,43
Maine,
Louisiana,32
Tennessee,31
Michigan,26
Florida,25
Missouri,25
Utah,22
Iowa,21
Wisconsin,20
Indiana,19
Massachusetts,18
Illinois,16
New Jersey,16
Ohio,15
Colorado,14
Texas,14
Arizona,14
North Carolina,12
New York,12
California,9
Maryland,8
Georgia,7
Pennsylvania,6
Alaska,
Alabama,
Connecticut,
District of Columbia,
Hawaii,
Kansas,
Kentucky,
Minnesota,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Virginia,
Vermont,
Washington,
West Virginia,
Wyoming,
