Category: All categories

Region,Histrionic: (2014)
New Hampshire,100
North Dakota,98
Rhode Island,94
Utah,92
Indiana,87
South Dakota,87
Arkansas,81
Washington,80
Nebraska,80
West Virginia,77
Pennsylvania,75
Vermont,75
Ohio,71
Minnesota,71
Mississippi,70
Louisiana,70
Maryland,68
Kentucky,68
Montana,68
Massachusetts,68
Oklahoma,68
Hawaii,67
Tennessee,67
Wisconsin,65
Colorado,65
Missouri,64
Michigan,64
Nevada,64
Illinois,64
North Carolina,61
Wyoming,60
New Jersey,60
California,58
Connecticut,58
Maine,58
Georgia,57
Florida,57
Arizona,57
Alabama,57
New York,57
South Carolina,57
Idaho,55
Texas,55
Delaware,52
New Mexico,52
District of Columbia,51
Iowa,50
Kansas,48
Virginia,47
Oregon,40
Alaska,40
