Category: All categories

Region,Histrionic: (2015)
Maine,100
Montana,93
West Virginia,89
Mississippi,75
Indiana,72
New Hampshire,72
Rhode Island,72
Kentucky,69
Nebraska,69
Utah,69
Maryland,68
Louisiana,68
Connecticut,67
Idaho,65
Colorado,64
South Dakota,63
Pennsylvania,61
Missouri,61
South Carolina,60
Wisconsin,60
Washington,60
Ohio,59
Arkansas,59
Wyoming,57
Arizona,57
Florida,56
Minnesota,56
New Jersey,56
Iowa,55
District of Columbia,55
Alabama,55
Massachusetts,53
California,52
North Carolina,52
Illinois,52
Georgia,51
Tennessee,51
New York,50
Michigan,50
Hawaii,47
Oregon,46
New Mexico,44
Oklahoma,44
Texas,43
Kansas,43
North Dakota,42
Nevada,40
Delaware,38
Virginia,36
Vermont,31
Alaska,27
