Category: All categories

Region,Histrionic: (2007)
Wyoming,100
Montana,86
South Dakota,54
Tennessee,53
Rhode Island,50
South Carolina,50
Idaho,47
Oklahoma,46
New Hampshire,43
New Mexico,43
Nevada,43
Colorado,41
Maine,40
Mississippi,40
Arkansas,37
District of Columbia,36
Ohio,36
Vermont,35
West Virginia,35
Virginia,35
Wisconsin,35
Kansas,33
Michigan,33
Indiana,32
Alabama,32
Pennsylvania,32
Arizona,30
Massachusetts,30
Washington,29
Utah,29
Florida,29
Iowa,28
Texas,28
North Carolina,28
Illinois,27
New York,27
Maryland,26
Missouri,26
Minnesota,25
Kentucky,25
New Jersey,24
California,24
Hawaii,23
Louisiana,23
Nebraska,21
Georgia,21
Connecticut,19
Oregon,14
Alaska,
Delaware,
North Dakota,
