Category: All categories

Region,breakup: (2010)
Vermont,100
Rhode Island,96
South Dakota,88
Delaware,82
Massachusetts,78
Kansas,76
North Dakota,74
Indiana,73
Alaska,72
Connecticut,72
Nevada,71
Nebraska,71
Louisiana,70
Pennsylvania,69
Mississippi,69
New York,69
Wyoming,69
Wisconsin,68
New Jersey,68
Washington,67
North Carolina,67
Oregon,67
District of Columbia,65
Missouri,65
Ohio,65
Oklahoma,65
New Hampshire,64
Michigan,64
Alabama,64
Illinois,63
Maine,63
Iowa,62
Kentucky,62
Florida,60
Colorado,60
New Mexico,59
Arizona,59
Arkansas,59
Montana,59
Texas,58
Maryland,58
Georgia,56
Hawaii,55
Minnesota,55
Utah,54
South Carolina,52
Tennessee,52
West Virginia,50
Idaho,46
Virginia,40
California,38
