Category: All categories

Region,breakup: (2015)
Hawaii,100
Virginia,96
Mississippi,95
New York,91
District of Columbia,90
Alaska,89
West Virginia,87
Rhode Island,86
Louisiana,85
Arkansas,85
California,84
Illinois,81
Delaware,80
Massachusetts,78
Nevada,76
Kentucky,75
New Hampshire,75
New Jersey,75
Nebraska,74
Pennsylvania,74
Colorado,74
Oklahoma,74
Connecticut,73
Maryland,73
Minnesota,72
Tennessee,72
Texas,71
Missouri,71
North Dakota,71
Arizona,70
Wisconsin,70
Alabama,69
Washington,69
Indiana,69
Florida,69
New Mexico,69
Montana,69
Iowa,69
Michigan,68
South Dakota,68
Ohio,68
Vermont,66
Maine,66
South Carolina,66
Georgia,65
Utah,64
North Carolina,63
Kansas,62
Idaho,60
Wyoming,57
Oregon,57
