Category: All categories

Region,breakup: (2014)
Virginia,100
Mississippi,98
New York,98
Rhode Island,97
District of Columbia,90
West Virginia,90
Connecticut,90
Hawaii,90
California,89
Alaska,89
Louisiana,88
Maryland,87
Delaware,87
Arkansas,87
Tennessee,87
Alabama,86
North Dakota,85
Massachusetts,85
Nebraska,85
Nevada,85
New Hampshire,84
Kentucky,84
New Jersey,83
Missouri,83
Oklahoma,82
Pennsylvania,81
Minnesota,80
Maine,80
Colorado,80
Arizona,79
Illinois,79
New Mexico,79
Texas,79
Vermont,78
Utah,78
Washington,77
Indiana,76
Wyoming,76
Michigan,76
Iowa,76
South Dakota,76
South Carolina,76
Ohio,75
Wisconsin,74
Montana,73
Kansas,73
Idaho,73
Georgia,72
North Carolina,71
Florida,66
Oregon,52
