Category: All categories

Region,guilty: (2020)
Vermont,100
New Jersey,76
Arizona,76
South Dakota,74
Delaware,74
New York,74
Kansas,73
Virginia,73
Nevada,72
District of Columbia,72
California,71
Maryland,71
Hawaii,70
Texas,70
Washington,70
Florida,69
Georgia,69
Rhode Island,69
Oklahoma,68
Pennsylvania,68
Arkansas,68
Massachusetts,68
West Virginia,68
Michigan,67
South Carolina,66
Ohio,66
Illinois,66
Idaho,65
North Carolina,64
Missouri,64
North Dakota,64
Mississippi,63
Montana,62
Connecticut,62
New Hampshire,62
Alabama,62
Oregon,61
Kentucky,60
Alaska,60
Maine,60
Louisiana,59
New Mexico,59
Wyoming,59
Utah,59
Iowa,58
Tennessee,58
Nebraska,58
Indiana,57
Wisconsin,56
Colorado,55
Minnesota,55
