Category: All categories

Region,guilty: (2005)
Mississippi,100
Idaho,85
Nevada,81
Maryland,72
California,71
Connecticut,71
New Mexico,71
Georgia,67
District of Columbia,67
Virginia,66
New York,65
New Jersey,65
Kansas,65
Wyoming,64
Hawaii,64
South Dakota,63
New Hampshire,63
Arkansas,63
Texas,62
Florida,61
Oklahoma,61
Tennessee,61
Michigan,61
Maine,61
Louisiana,60
Iowa,59
Illinois,59
Washington,59
West Virginia,59
Oregon,59
Indiana,58
Rhode Island,58
Missouri,58
Ohio,57
Massachusetts,57
Pennsylvania,56
North Carolina,55
Utah,55
Kentucky,54
Alabama,53
Alaska,53
Wisconsin,51
Nebraska,49
Colorado,49
Arizona,48
South Carolina,45
Minnesota,41
North Dakota,39
Vermont,37
Delaware,27
Montana,13
