Category: All categories

Region,tie a noose: (2016)
Montana,
Wyoming,
Idaho,100
Maine,
Iowa,84
Utah,75
Kentucky,75
Nevada,72
Missouri,72
West Virginia,70
Michigan,68
New Mexico,
New Hampshire,68
Indiana,65
Wisconsin,63
South Dakota,
Oklahoma,63
Colorado,63
North Dakota,61
Washington,61
Ohio,61
Kansas,59
South Carolina,56
Texas,54
Oregon,54
Nebraska,54
Arkansas,54
Pennsylvania,54
Illinois,52
Alabama,52
Virginia,52
Tennessee,50
Connecticut,50
Arizona,50
California,47
Minnesota,47
Vermont,
Florida,45
North Carolina,45
Alaska,
New Jersey,43
Hawaii,
Georgia,40
Massachusetts,40
Rhode Island,
Maryland,38
Louisiana,36
New York,36
District of Columbia,
Delaware,
Mississippi,25
