Category: All categories

Region,tie a noose: (2007)
North Dakota,100
Wyoming,
New Hampshire,35
Arkansas,30
Louisiana,24
Mississippi,22
South Carolina,17
Utah,16
Oregon,15
Missouri,13
District of Columbia,
New Jersey,11
Washington,11
Colorado,11
Ohio,10
Connecticut,10
Texas,10
New York,9
Arizona,8
Maryland,7
Michigan,6
North Carolina,6
Wisconsin,6
Virginia,5
Pennsylvania,5
California,5
Florida,4
Illinois,4
Minnesota,3
Massachusetts,3
Alaska,
Alabama,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Indiana,
Kansas,
Kentucky,
Maine,
Montana,
Nebraska,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Dakota,
Tennessee,
Vermont,
West Virginia,
