Category: All categories

Region,tie a noose: (2015)
Wyoming,
Rhode Island,
Vermont,
Idaho,100
North Dakota,95
Nebraska,87
Colorado,83
Utah,83
West Virginia,79
New Mexico,
Montana,
Kentucky,66
Iowa,62
South Carolina,62
Indiana,58
Arizona,58
Ohio,58
Maine,
New Hampshire,58
Washington,54
North Carolina,54
Wisconsin,54
Hawaii,
Michigan,54
Oklahoma,54
Arkansas,54
Minnesota,50
District of Columbia,
Pennsylvania,50
Massachusetts,50
Illinois,50
Tennessee,50
Maryland,45
Oregon,45
Alaska,
Texas,41
Georgia,41
California,37
Florida,37
Kansas,37
Nevada,37
New York,37
Missouri,33
New Jersey,33
Virginia,29
Mississippi,29
Connecticut,29
Alabama,12
Louisiana,12
Delaware,
South Dakota,
