Category: All categories

Region,tie a noose: (2017)
Wyoming,
Iowa,100
North Dakota,100
Arkansas,97
Maine,
Vermont,
Oklahoma,91
Kentucky,85
New Hampshire,85
Indiana,82
Kansas,80
Nevada,80
West Virginia,80
Missouri,80
Idaho,76
South Dakota,
Wisconsin,72
Utah,72
Ohio,72
Colorado,68
Alaska,
Minnesota,68
Rhode Island,
Michigan,68
Montana,
Connecticut,65
Oregon,65
Hawaii,
Arizona,59
Alabama,59
Texas,59
Pennsylvania,59
New Mexico,
Nebraska,57
Virginia,57
California,55
Illinois,55
South Carolina,55
Tennessee,55
Washington,51
North Carolina,51
Massachusetts,48
Delaware,
Mississippi,48
New Jersey,46
Louisiana,46
Georgia,44
Florida,44
New York,38
Maryland,36
District of Columbia,
