Category: All categories

Region,tie a noose: (2019)
Utah,100
Wyoming,
Iowa,81
New Mexico,
Idaho,75
Vermont,
West Virginia,71
Arkansas,68
Rhode Island,
Maine,
Nebraska,62
South Dakota,
Kansas,62
Montana,
Arizona,59
Missouri,59
Wisconsin,59
New Hampshire,59
Oklahoma,56
Alaska,
Minnesota,56
Washington,56
Colorado,56
Indiana,56
Ohio,50
Kentucky,50
Oregon,50
Georgia,43
Pennsylvania,43
Nevada,43
Michigan,43
Texas,43
Alabama,43
North Carolina,43
Tennessee,40
Illinois,40
Virginia,40
Hawaii,
North Dakota,37
California,37
Maryland,34
Mississippi,34
Louisiana,34
Florida,34
Connecticut,31
Massachusetts,31
New Jersey,28
South Carolina,28
Delaware,
New York,21
District of Columbia,
