Category: All categories

Region,tie a noose: (2021)
Oregon,100
Wyoming,
Idaho,37
Montana,
Hawaii,
North Dakota,27
Alaska,
South Dakota,
Arkansas,24
Rhode Island,
New Mexico,
Colorado,22
West Virginia,22
Arizona,22
Delaware,
Washington,19
Wisconsin,19
Kansas,19
Missouri,19
Oklahoma,18
New Hampshire,18
Utah,16
Alabama,16
Nevada,16
Ohio,16
Minnesota,14
Louisiana,14
Texas,14
Illinois,14
North Carolina,14
Michigan,14
Kentucky,14
Connecticut,14
Iowa,14
Indiana,14
Pennsylvania,14
Georgia,14
Tennessee,13
Florida,13
California,13
Virginia,11
Massachusetts,11
Nebraska,11
New Jersey,11
Maryland,9
South Carolina,9
New York,9
Mississippi,8
District of Columbia,
Maine,
Vermont,
