Category: All categories

Region,tie a noose: (2009)
Delaware,
North Dakota,100
Hawaii,
New Hampshire,68
Nevada,62
Iowa,51
Wisconsin,51
Arkansas,44
Arizona,44
Missouri,44
Tennessee,44
Indiana,41
Michigan,37
Washington,37
Alabama,34
Ohio,34
Kansas,34
Texas,31
New Jersey,31
North Carolina,27
Colorado,27
Pennsylvania,24
Kentucky,24
Illinois,24
Florida,20
New York,20
California,20
Massachusetts,20
Connecticut,20
Minnesota,17
Virginia,10
District of Columbia,
Georgia,3
Alaska,
Idaho,
Louisiana,
Maryland,
Maine,
Mississippi,
Montana,
Nebraska,
New Mexico,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
