Category: All categories

Region,trans: (2004)
Delaware,100
Kansas,97
Indiana,96
Ohio,93
Mississippi,92
Michigan,92
Wisconsin,89
Nevada,89
Illinois,88
Texas,85
California,85
Missouri,83
Pennsylvania,82
Wyoming,79
Kentucky,79
New Mexico,78
Nebraska,78
Colorado,77
Arizona,77
Tennessee,77
West Virginia,76
South Dakota,75
Maryland,75
Oklahoma,75
Minnesota,75
Hawaii,74
New Jersey,72
Idaho,71
Florida,71
District of Columbia,71
Rhode Island,70
Georgia,70
Vermont,67
Iowa,67
New Hampshire,67
Alabama,67
Virginia,66
Arkansas,66
South Carolina,65
Alaska,64
Montana,64
Oregon,64
Louisiana,64
New York,63
Connecticut,63
North Dakota,63
North Carolina,62
Utah,61
Massachusetts,61
Maine,58
Washington,56
