Category: All categories

Region,trans: (2013)
West Virginia,100
Michigan,83
Indiana,81
Ohio,80
Pennsylvania,79
Oklahoma,79
Wisconsin,79
Wyoming,77
Missouri,76
Nebraska,75
Kentucky,75
North Dakota,73
Illinois,72
New Hampshire,72
Mississippi,72
Vermont,72
Tennessee,71
New Mexico,70
Arkansas,70
Texas,70
Idaho,70
Maine,70
Minnesota,69
South Dakota,69
Delaware,68
New Jersey,68
Georgia,68
Alaska,68
Kansas,67
Oregon,66
California,66
Nevada,65
Iowa,65
Arizona,64
Colorado,63
North Carolina,63
Hawaii,61
Alabama,61
Washington,61
Massachusetts,60
Rhode Island,59
Montana,58
District of Columbia,58
New York,58
Florida,58
Utah,57
Virginia,57
Maryland,56
South Carolina,56
Connecticut,56
Louisiana,54
