Category: All categories

Region,trans: (2018)
West Virginia,100
Michigan,94
Pennsylvania,92
Ohio,91
Vermont,91
Kentucky,89
Kansas,89
Oregon,89
Wisconsin,88
Washington,87
Indiana,87
Missouri,86
Illinois,86
Oklahoma,86
Tennessee,86
California,85
Nevada,82
Virginia,79
Delaware,79
Colorado,79
Alaska,79
New Jersey,78
Utah,78
Maine,78
North Carolina,77
Texas,77
Wyoming,76
North Dakota,75
Minnesota,75
New Hampshire,75
Iowa,75
Massachusetts,75
Arizona,73
Alabama,73
Rhode Island,73
Arkansas,73
New York,72
Montana,72
Georgia,72
Connecticut,72
South Carolina,71
Louisiana,70
Florida,70
Maryland,70
New Mexico,70
District of Columbia,69
Mississippi,68
South Dakota,68
Idaho,68
Nebraska,67
Hawaii,66
