Category: All categories

Region,trans: (2007)
Wyoming,100
North Dakota,93
Nevada,85
Delaware,79
Kansas,79
Pennsylvania,76
California,73
Indiana,73
Oklahoma,72
Illinois,71
Tennessee,71
Michigan,71
Maine,71
Texas,71
Idaho,70
South Carolina,70
Arkansas,69
Mississippi,69
Missouri,69
Nebraska,69
Wisconsin,69
New Hampshire,68
Kentucky,67
Ohio,66
Colorado,66
Iowa,64
Rhode Island,63
West Virginia,63
South Dakota,63
Vermont,62
Utah,62
New Mexico,62
Florida,62
Connecticut,59
Minnesota,58
Arizona,58
North Carolina,57
Hawaii,57
Maryland,56
Alabama,56
Virginia,55
Georgia,55
District of Columbia,54
New York,54
New Jersey,53
Oregon,52
Louisiana,51
Montana,51
Massachusetts,50
Washington,49
Alaska,47
