Category: All categories

Region,trans: (2019)
Vermont,100
West Virginia,95
Oregon,95
Michigan,94
Illinois,93
Pennsylvania,93
Washington,93
Tennessee,90
Alaska,89
Ohio,89
Indiana,88
Kentucky,88
California,87
Kansas,87
Missouri,87
Oklahoma,86
Nevada,85
North Dakota,85
Utah,84
Texas,84
Wisconsin,84
North Carolina,84
Minnesota,82
New Jersey,82
Colorado,81
Connecticut,80
Maine,80
Virginia,80
Iowa,80
Alabama,79
Massachusetts,79
New York,79
New Hampshire,79
Arkansas,79
Georgia,79
Rhode Island,78
South Dakota,78
Idaho,77
Maryland,77
Louisiana,76
Florida,76
Wyoming,76
Delaware,76
Arizona,75
District of Columbia,75
Nebraska,74
Montana,73
South Carolina,73
New Mexico,72
Mississippi,71
Hawaii,70
