Category: All categories

Region,worthless: (2006)
Alabama,100
Montana,77
Vermont,71
New Mexico,68
North Dakota,67
Iowa,67
Maine,66
Mississippi,63
Kansas,61
Indiana,61
Connecticut,60
North Carolina,59
Arkansas,55
Florida,50
Pennsylvania,49
Tennessee,47
District of Columbia,46
Michigan,44
Arizona,42
Maryland,42
Oklahoma,42
Virginia,41
Colorado,41
Minnesota,40
Washington,39
Kentucky,38
Oregon,38
Missouri,38
Ohio,38
New Hampshire,38
West Virginia,38
Illinois,36
California,36
South Carolina,36
Texas,35
New Jersey,34
Louisiana,33
Hawaii,33
New York,31
Massachusetts,29
Utah,26
Georgia,25
Nevada,19
Wisconsin,19
Alaska,
Delaware,
Idaho,
Nebraska,
Rhode Island,
South Dakota,
Wyoming,
