Category: All categories

Region,worthless: (2021)
Montana,100
Alaska,91
Oklahoma,89
Wyoming,89
Alabama,87
Rhode Island,81
New Mexico,80
Maine,78
Vermont,78
West Virginia,76
Kansas,74
Nebraska,72
South Dakota,71
Mississippi,70
Iowa,70
Utah,70
District of Columbia,69
Washington,69
Arizona,67
Tennessee,67
Minnesota,67
Louisiana,67
Kentucky,67
Indiana,67
Missouri,67
Michigan,65
Ohio,64
North Carolina,64
Idaho,63
South Carolina,63
Virginia,63
Colorado,63
Oregon,62
Arkansas,62
Wisconsin,61
Nevada,61
Illinois,58
Georgia,58
Connecticut,57
Pennsylvania,57
Massachusetts,56
Florida,56
Texas,55
California,55
Maryland,55
North Dakota,54
New Jersey,54
New Hampshire,54
Delaware,52
New York,48
Hawaii,41
