Category: All categories

Region,ptsd: (2017)
New Mexico,100
Vermont,99
Montana,97
Maine,92
New Hampshire,81
Alaska,78
Rhode Island,76
West Virginia,76
Arkansas,76
South Dakota,75
Wyoming,73
Oklahoma,72
North Carolina,72
Idaho,71
Hawaii,71
Massachusetts,71
Connecticut,70
Colorado,69
Iowa,69
Oregon,69
Pennsylvania,68
Utah,67
Virginia,67
Minnesota,66
North Dakota,66
Washington,65
Kentucky,65
Arizona,65
Delaware,64
Tennessee,64
Ohio,63
Alabama,63
South Carolina,63
Nevada,62
Missouri,61
Michigan,61
Georgia,61
Illinois,60
Maryland,60
Nebraska,60
District of Columbia,59
California,59
Indiana,59
Mississippi,58
Texas,58
Kansas,58
Wisconsin,57
Florida,56
Louisiana,56
New York,56
New Jersey,55
