Category: All categories

Region,ptsd: (2011)
New Mexico,100
Montana,95
Alaska,88
Oregon,79
New Hampshire,76
Maine,74
Vermont,74
Hawaii,72
West Virginia,68
Wyoming,66
Idaho,66
Kansas,64
Washington,64
Kentucky,62
Oklahoma,61
Colorado,60
South Carolina,60
Tennessee,60
Rhode Island,59
Nebraska,58
Maryland,57
South Dakota,57
Alabama,57
Virginia,57
North Carolina,57
Arkansas,56
North Dakota,56
District of Columbia,56
Massachusetts,55
Arizona,54
Utah,54
Connecticut,53
Indiana,52
Iowa,52
Louisiana,50
Minnesota,50
Wisconsin,50
Pennsylvania,49
Ohio,49
Missouri,48
California,47
Delaware,46
Nevada,45
Michigan,44
Mississippi,42
Georgia,42
Illinois,41
New York,39
Florida,39
New Jersey,39
Texas,38
