Category: All categories

Region,ptsd: (2014)
New Mexico,100
Vermont,94
Alaska,91
Maine,89
Montana,87
Idaho,84
West Virginia,76
Arkansas,75
New Hampshire,73
Delaware,73
South Dakota,71
Connecticut,69
Rhode Island,68
Pennsylvania,65
Alabama,65
North Carolina,64
Hawaii,63
South Carolina,63
Washington,62
Oklahoma,62
Tennessee,61
District of Columbia,61
Iowa,61
Colorado,61
Nebraska,60
Kentucky,60
Missouri,60
Massachusetts,59
Maryland,59
Indiana,58
Utah,58
Kansas,58
Arizona,58
Wisconsin,57
Nevada,56
Mississippi,56
North Dakota,55
Wyoming,54
Minnesota,53
Florida,51
California,51
Michigan,51
Ohio,50
Louisiana,50
Texas,50
Illinois,49
Georgia,47
Oregon,44
New York,43
Virginia,42
New Jersey,42
