Category: All categories

Region,ptsd: (2012)
New Mexico,100
Maine,85
Vermont,81
Alaska,78
New Hampshire,75
Oregon,71
West Virginia,71
South Dakota,69
Rhode Island,66
Hawaii,66
Montana,64
Idaho,62
North Dakota,59
Kentucky,58
Arkansas,57
Oklahoma,57
Washington,57
Wyoming,56
South Carolina,55
Colorado,54
Tennessee,54
Nebraska,54
Utah,52
Kansas,52
Delaware,52
Virginia,51
Alabama,51
Iowa,51
Maryland,50
District of Columbia,50
Arizona,50
Connecticut,50
North Carolina,50
Massachusetts,49
Nevada,49
Minnesota,49
Indiana,47
Wisconsin,47
Missouri,47
California,46
Pennsylvania,44
Mississippi,44
Louisiana,43
Ohio,43
New York,42
Michigan,42
Texas,41
Illinois,40
Florida,39
Georgia,39
New Jersey,38
