Category: All categories

Region,ptsd: (2018)
Alaska,100
New Mexico,99
Vermont,92
Maine,89
Washington,85
Wyoming,85
Rhode Island,85
New Hampshire,84
Montana,83
South Dakota,81
Arkansas,80
Delaware,78
Colorado,78
Oregon,77
Virginia,77
West Virginia,76
District of Columbia,76
Pennsylvania,76
North Dakota,75
Connecticut,74
Massachusetts,74
Nebraska,73
North Carolina,73
Maryland,73
Arizona,72
Oklahoma,72
Hawaii,72
Kansas,71
Iowa,71
Utah,70
Idaho,70
Missouri,69
Minnesota,69
Kentucky,69
Indiana,68
Illinois,67
California,67
Michigan,66
South Carolina,65
Ohio,65
Nevada,65
Texas,65
Wisconsin,64
New York,64
Alabama,64
Mississippi,64
Tennessee,63
New Jersey,62
Georgia,62
Florida,60
Louisiana,58
