Category: All categories

Region,ptsd: (2019)
Vermont,100
Maine,95
New Mexico,88
Montana,85
Wyoming,83
Alaska,79
West Virginia,79
New Hampshire,79
Minnesota,78
Washington,76
Massachusetts,76
Arkansas,76
Rhode Island,76
District of Columbia,75
Oregon,75
North Carolina,74
Pennsylvania,73
Missouri,72
Connecticut,72
Delaware,72
Kansas,71
Maryland,71
Tennessee,70
Idaho,70
Virginia,70
Oklahoma,70
Ohio,70
Colorado,70
South Dakota,69
Arizona,69
Illinois,68
Iowa,67
North Dakota,65
Mississippi,65
Georgia,65
Nebraska,64
Hawaii,64
Texas,64
Utah,63
California,63
New York,62
Florida,62
Kentucky,62
Nevada,61
New Jersey,61
South Carolina,61
Wisconsin,61
Louisiana,60
Alabama,60
Michigan,59
Indiana,57
