Category: All categories

Region,ptsd: (2005)
New Mexico,100
New Hampshire,97
Wyoming,95
Vermont,85
Idaho,83
Oregon,78
West Virginia,72
Maine,70
Massachusetts,66
South Carolina,64
Missouri,60
Connecticut,58
Washington,57
Oklahoma,56
Hawaii,55
Rhode Island,51
Kentucky,51
Maryland,50
Arizona,50
Nevada,47
Virginia,45
Tennessee,44
District of Columbia,44
Alabama,44
New York,43
Louisiana,43
Nebraska,43
North Dakota,42
Pennsylvania,42
Ohio,42
Wisconsin,42
Minnesota,40
Michigan,40
North Carolina,40
California,39
Texas,39
Colorado,38
Mississippi,37
South Dakota,37
Alaska,36
Illinois,36
Arkansas,35
Kansas,35
Florida,34
Indiana,32
New Jersey,31
Iowa,31
Georgia,30
Utah,27
Delaware,25
Montana,
