Category: All categories

Region,ptsd: (2020)
Maine,100
New Mexico,96
Vermont,95
New Hampshire,94
Minnesota,93
West Virginia,92
Alaska,92
Arkansas,91
Washington,91
Montana,90
Delaware,89
Rhode Island,89
Idaho,88
Oregon,87
Hawaii,87
Pennsylvania,86
North Dakota,86
Virginia,85
Maryland,85
Mississippi,85
Connecticut,85
Massachusetts,85
Illinois,85
North Carolina,84
Wyoming,84
Ohio,83
Georgia,82
Missouri,82
Colorado,81
District of Columbia,81
Indiana,80
Oklahoma,79
Tennessee,79
Arizona,79
South Dakota,79
California,78
Wisconsin,78
Utah,77
South Carolina,76
Kansas,76
New York,75
Michigan,75
Nebraska,75
Texas,75
Kentucky,74
Nevada,73
Louisiana,73
New Jersey,72
Iowa,72
Florida,71
Alabama,69
