Category: All categories

Region,Antisocial personality: (2007)
Wyoming,
North Dakota,100
Wisconsin,62
Montana,61
Kentucky,60
Indiana,53
Iowa,51
Hawaii,51
Missouri,47
Rhode Island,45
Delaware,44
Maryland,43
Pennsylvania,42
Massachusetts,42
Mississippi,39
Idaho,38
Michigan,37
Arizona,35
New Mexico,35
Utah,35
Kansas,35
Washington,34
Minnesota,34
Ohio,32
Connecticut,32
South Carolina,32
New Jersey,31
New York,30
Oregon,29
Illinois,27
North Carolina,27
Florida,27
Texas,24
California,23
District of Columbia,
Georgia,21
Colorado,21
New Hampshire,20
Arkansas,20
Tennessee,20
Louisiana,19
Virginia,18
Alabama,15
Nebraska,14
Alaska,
Maine,
Nevada,
Oklahoma,
South Dakota,
Vermont,
West Virginia,
