Category: All categories

Region,Antisocial personality: (2012)
Wyoming,
West Virginia,100
Maine,98
South Dakota,95
Idaho,95
New Mexico,82
Alabama,82
Iowa,80
Nebraska,76
Mississippi,75
Wisconsin,75
Arkansas,73
Indiana,73
Alaska,
Vermont,
Maryland,70
New Hampshire,70
Louisiana,70
Pennsylvania,69
Connecticut,69
Minnesota,69
South Carolina,67
North Carolina,67
Kansas,67
Delaware,66
Kentucky,64
Michigan,61
Arizona,61
Missouri,60
New Jersey,58
Utah,58
Ohio,58
Virginia,57
Massachusetts,57
Nevada,57
Florida,55
Oregon,55
Washington,55
Illinois,54
Georgia,51
Oklahoma,50
New York,50
Rhode Island,50
Tennessee,50
Texas,50
Colorado,48
District of Columbia,
North Dakota,47
California,44
Hawaii,42
Montana,32
