Category: All categories

Region,Antisocial personality: (2017)
Wyoming,
Maine,100
Vermont,
New Mexico,90
South Dakota,84
Alaska,
Iowa,84
Indiana,84
Mississippi,83
New Hampshire,81
Utah,81
Wisconsin,77
Idaho,77
Pennsylvania,75
West Virginia,75
Minnesota,75
Kansas,73
North Carolina,73
Connecticut,73
Missouri,71
Massachusetts,71
Maryland,69
Ohio,69
South Carolina,69
Kentucky,69
North Dakota,67
Virginia,67
Michigan,66
Illinois,66
Washington,64
Rhode Island,64
Georgia,64
Colorado,62
New Jersey,62
Arkansas,60
Oregon,60
Nebraska,60
Tennessee,58
Louisiana,58
Nevada,58
Arizona,58
California,58
Hawaii,56
Alabama,52
New York,52
Florida,52
Texas,50
Delaware,49
District of Columbia,
Oklahoma,45
Montana,32
