Category: All categories

Region,Antisocial personality: (2018)
North Dakota,100
Maine,77
Idaho,72
Rhode Island,67
South Dakota,67
Indiana,65
New Hampshire,62
Arkansas,61
Kansas,59
Wyoming,
Delaware,56
Vermont,
Missouri,54
North Carolina,54
Alaska,
Iowa,53
Minnesota,53
Connecticut,51
Alabama,51
Pennsylvania,51
Maryland,50
New Mexico,50
Kentucky,50
West Virginia,50
Nebraska,49
Michigan,49
Wisconsin,48
Ohio,48
Utah,48
Virginia,46
New Jersey,46
Massachusetts,46
Louisiana,45
Colorado,44
Arizona,44
Illinois,44
Mississippi,44
Tennessee,43
Oregon,43
South Carolina,43
Georgia,43
Washington,42
Florida,40
New York,40
Oklahoma,39
Montana,39
Nevada,38
Texas,37
California,37
District of Columbia,
Hawaii,33
