Category: All categories

Region,Antisocial personality: (2011)
South Dakota,100
Montana,91
North Dakota,84
Delaware,77
Iowa,77
New Hampshire,74
Maine,73
Oklahoma,73
Rhode Island,70
Arkansas,70
Idaho,67
Kansas,65
South Carolina,65
Wisconsin,65
Missouri,64
Indiana,63
Alaska,
Michigan,60
Maryland,59
Connecticut,59
Louisiana,59
Utah,59
Florida,58
Wyoming,
Ohio,56
Tennessee,56
New Mexico,56
Pennsylvania,55
Hawaii,54
Mississippi,53
Nevada,53
Virginia,53
Arizona,53
Colorado,51
Nebraska,51
North Carolina,51
Massachusetts,51
Washington,50
Oregon,50
Kentucky,49
Minnesota,49
Georgia,48
Illinois,48
Vermont,
Texas,45
New Jersey,45
Alabama,43
New York,40
California,36
West Virginia,32
District of Columbia,
