Category: All categories

Region,gay: (2010)
California,100
Virginia,98
New York,96
Vermont,96
Florida,95
Louisiana,91
Mississippi,90
Nevada,90
Rhode Island,86
Massachusetts,86
Pennsylvania,85
Hawaii,85
Texas,84
New Hampshire,84
Maine,83
North Carolina,83
Connecticut,82
Kentucky,82
Arkansas,81
Georgia,80
Ohio,80
New Jersey,79
Michigan,79
District of Columbia,78
Indiana,78
Missouri,77
Maryland,77
Washington,76
Tennessee,75
Arizona,75
Illinois,75
Oklahoma,75
Kansas,75
Wyoming,74
South Carolina,74
Delaware,74
New Mexico,74
Alabama,73
Wisconsin,70
Oregon,69
Colorado,66
Nebraska,66
West Virginia,65
Minnesota,64
Iowa,63
Utah,62
Alaska,62
South Dakota,61
Montana,57
Idaho,57
North Dakota,56
