Category: All categories

Region,gay: (2009)
Virginia,100
Nevada,93
New York,93
Louisiana,93
Rhode Island,92
Maine,90
Florida,89
California,88
Mississippi,87
Hawaii,85
Arkansas,84
Texas,83
Connecticut,83
Massachusetts,83
New Jersey,83
Kentucky,83
Pennsylvania,82
North Carolina,82
Georgia,80
Maryland,79
Alabama,79
Michigan,78
New Mexico,78
Indiana,78
Delaware,76
Kansas,76
South Carolina,76
Arizona,76
Vermont,75
West Virginia,75
District of Columbia,75
New Hampshire,74
Missouri,73
Washington,73
Ohio,73
Illinois,72
Colorado,71
Tennessee,69
Wyoming,68
Wisconsin,67
Nebraska,65
Iowa,65
South Dakota,65
Oregon,64
Oklahoma,64
Alaska,62
Utah,61
Montana,60
North Dakota,58
Minnesota,58
Idaho,58
