Category: All categories

Region,gay: (2007)
Hawaii,100
Florida,97
New York,92
Nevada,92
Rhode Island,91
Mississippi,88
Michigan,85
Louisiana,85
Kentucky,84
California,84
Ohio,84
Illinois,82
District of Columbia,82
Virginia,82
Alabama,82
Pennsylvania,82
Georgia,82
Missouri,81
New Jersey,81
Massachusetts,80
Arizona,80
Indiana,80
Delaware,80
South Carolina,79
West Virginia,78
North Carolina,78
Connecticut,77
Kansas,77
Maryland,77
New Mexico,77
Wisconsin,76
Texas,76
Oklahoma,76
Tennessee,75
Arkansas,74
South Dakota,74
Maine,73
Wyoming,73
Washington,72
Colorado,72
Iowa,70
Vermont,70
New Hampshire,69
Alaska,68
Oregon,68
Nebraska,68
Utah,66
Montana,64
Minnesota,63
North Dakota,60
Idaho,59
