Category: All categories

Region,gay: (2014)
Florida,100
West Virginia,97
Mississippi,97
Nevada,97
New Mexico,96
Rhode Island,96
Arkansas,96
Louisiana,96
New York,92
District of Columbia,92
Georgia,92
South Carolina,91
Kansas,91
Kentucky,91
Pennsylvania,90
Arizona,89
Indiana,88
Virginia,87
North Carolina,87
Texas,86
Alabama,85
Oklahoma,85
Hawaii,85
Delaware,84
Missouri,84
Massachusetts,83
Maine,83
Tennessee,83
California,82
Ohio,81
Illinois,81
New Jersey,81
Oregon,80
Idaho,80
Connecticut,79
Utah,79
Maryland,78
Michigan,78
New Hampshire,74
Washington,74
Iowa,74
Wyoming,74
Wisconsin,72
Colorado,71
Vermont,70
Alaska,69
Nebraska,68
Montana,66
North Dakota,65
Minnesota,64
South Dakota,59
