Category: All categories

Region,gay: (2005)
Florida,100
New York,90
Rhode Island,89
Massachusetts,86
Georgia,86
Hawaii,85
California,85
West Virginia,84
Wisconsin,84
Maine,82
Tennessee,81
Pennsylvania,81
Nevada,80
Mississippi,80
Arkansas,80
Texas,80
New Mexico,80
Vermont,79
Illinois,79
New Jersey,78
Indiana,78
Missouri,77
Washington,77
Virginia,76
Arizona,75
Ohio,75
Louisiana,75
Michigan,75
Delaware,74
Connecticut,74
New Hampshire,73
North Dakota,72
North Carolina,72
South Dakota,71
Wyoming,70
District of Columbia,70
Colorado,70
Maryland,70
Nebraska,68
Oklahoma,68
Kentucky,68
Kansas,68
Oregon,66
Montana,66
South Carolina,66
Alabama,65
Iowa,64
Alaska,63
Minnesota,61
Utah,60
Idaho,57
