Category: All categories

Region,gay: (2006)
Nevada,100
Florida,91
West Virginia,90
California,87
New York,87
Louisiana,87
New Jersey,84
Kentucky,84
Pennsylvania,83
Illinois,82
Ohio,82
Texas,81
Hawaii,80
Kansas,79
Michigan,79
Massachusetts,79
Georgia,79
North Carolina,79
Connecticut,79
Washington,78
Rhode Island,78
Vermont,76
Indiana,76
Arizona,76
Delaware,76
South Carolina,76
Missouri,75
Tennessee,75
Mississippi,75
Virginia,75
New Mexico,74
Arkansas,74
Wisconsin,74
Wyoming,73
Oklahoma,72
Maryland,72
Maine,70
Alabama,70
South Dakota,70
Colorado,67
District of Columbia,67
New Hampshire,65
Utah,64
Nebraska,64
Oregon,63
Montana,63
Alaska,62
Minnesota,61
Iowa,61
Idaho,59
North Dakota,55
