Category: All categories

Region,gay: (2016)
Mississippi,100
New Mexico,99
West Virginia,95
Nevada,95
Louisiana,95
Delaware,94
Florida,93
New York,93
Kentucky,93
Georgia,92
Arkansas,92
Rhode Island,91
Alabama,90
California,90
Texas,88
Oklahoma,87
District of Columbia,87
South Carolina,86
Indiana,86
Pennsylvania,84
Tennessee,83
Hawaii,83
Arizona,81
Ohio,80
Missouri,80
Massachusetts,78
Connecticut,78
Illinois,77
New Jersey,77
Maine,77
Vermont,76
Virginia,76
Michigan,76
New Hampshire,76
Maryland,75
Kansas,72
North Carolina,72
Colorado,71
Alaska,70
Washington,70
Iowa,70
Oregon,70
Wisconsin,69
Nebraska,67
Wyoming,65
Montana,65
Utah,64
Idaho,63
South Dakota,60
Minnesota,60
North Dakota,55
