Category: All categories

Region,Histrionic personality: (2006)
Rhode Island,100
South Dakota,87
Iowa,75
Hawaii,73
Colorado,51
Washington,51
Ohio,51
New Mexico,50
Indiana,45
Minnesota,45
New Hampshire,45
Oregon,42
Oklahoma,40
Louisiana,40
Illinois,37
Tennessee,37
Missouri,37
Pennsylvania,35
Alabama,34
Utah,32
Nebraska,32
Florida,31
Virginia,31
District of Columbia,29
New York,29
Kentucky,29
North Carolina,28
Wisconsin,28
New Jersey,26
Michigan,26
Texas,26
Arizona,26
Kansas,25
Georgia,25
California,21
Maryland,20
Massachusetts,18
Connecticut,12
Alaska,
Arkansas,
Delaware,
Idaho,
Maine,
Mississippi,
Montana,
North Dakota,
Nevada,
South Carolina,
Vermont,
West Virginia,
Wyoming,
