Category: All categories

Region,Histrionic personality: (2012)
Montana,100
Pennsylvania,90
Maine,77
Alaska,76
West Virginia,76
Delaware,74
Alabama,69
District of Columbia,64
Arkansas,64
Maryland,60
Tennessee,59
Wyoming,59
Louisiana,56
Kentucky,56
North Carolina,54
Ohio,53
Arizona,52
Wisconsin,52
Nevada,50
Rhode Island,49
New Hampshire,49
Oklahoma,49
Utah,49
Michigan,49
Oregon,47
South Carolina,47
Missouri,47
Iowa,47
Connecticut,47
Illinois,46
Idaho,46
Minnesota,46
Massachusetts,45
New Jersey,45
New York,45
Georgia,45
Virginia,45
Indiana,43
North Dakota,43
Colorado,40
Washington,39
New Mexico,39
Florida,39
Nebraska,39
Mississippi,39
California,38
Texas,38
Kansas,36
South Dakota,32
Hawaii,25
Vermont,19
