Category: All categories

Region,Histrionic personality: (2011)
South Dakota,100
Arkansas,87
Rhode Island,87
North Dakota,80
Maine,70
Alabama,70
Delaware,68
Nevada,61
Tennessee,52
Louisiana,52
Oklahoma,52
Ohio,52
Minnesota,47
Mississippi,47
Maryland,47
North Carolina,45
Arizona,45
Pennsylvania,45
Massachusetts,45
Kentucky,45
Missouri,43
Wisconsin,43
Virginia,43
Nebraska,43
Indiana,43
Michigan,42
West Virginia,42
Alaska,42
Iowa,42
South Carolina,42
New Mexico,42
Florida,42
New York,40
Connecticut,40
Idaho,40
Utah,38
Oregon,38
Colorado,38
Georgia,38
Washington,38
Illinois,36
New Jersey,36
Texas,35
California,35
District of Columbia,33
Vermont,28
Hawaii,28
Kansas,22
New Hampshire,15
Montana,
Wyoming,
