Category: All categories

Region,Histrionic personality: (2019)
Wyoming,100
Vermont,90
Montana,82
Delaware,82
Maine,78
Alaska,73
District of Columbia,65
Utah,63
West Virginia,63
South Dakota,63
Rhode Island,61
New Hampshire,59
Oregon,57
Idaho,57
Indiana,55
Kentucky,55
North Dakota,53
Connecticut,53
Mississippi,53
Minnesota,51
Massachusetts,51
Maryland,51
Pennsylvania,50
Michigan,50
Ohio,50
Washington,50
New Jersey,50
Nebraska,48
Tennessee,48
Missouri,48
New York,48
Illinois,46
Wisconsin,46
Colorado,44
North Carolina,44
Arizona,44
Arkansas,42
Georgia,42
Virginia,40
California,40
Alabama,40
Oklahoma,40
Iowa,38
Florida,38
Texas,38
New Mexico,38
South Carolina,36
Louisiana,36
Kansas,32
Nevada,30
Hawaii,19
