Category: All categories

Region,Histrionic personality: (2020)
Delaware,100
South Dakota,100
Nebraska,94
Alaska,94
Utah,91
Oklahoma,86
Montana,80
Minnesota,80
Connecticut,80
Oregon,80
Kentucky,77
Arkansas,77
Maryland,77
Kansas,77
New Hampshire,75
Colorado,75
Idaho,75
Ohio,72
Michigan,72
Rhode Island,72
Iowa,72
Arizona,72
Virginia,69
Indiana,69
Pennsylvania,69
Illinois,69
Missouri,66
District of Columbia,66
Alabama,66
South Carolina,66
Florida,66
Washington,66
Tennessee,66
Massachusetts,66
Mississippi,63
North Carolina,63
New Jersey,63
New Mexico,63
Louisiana,63
West Virginia,63
Texas,61
California,58
New York,58
Georgia,58
Wisconsin,55
Vermont,47
Maine,47
Wyoming,47
Nevada,41
Hawaii,41
North Dakota,19
