Category: All categories

Region,Histrionic personality: (2018)
North Dakota,100
Delaware,79
Mississippi,77
Wyoming,77
Arkansas,75
Rhode Island,75
Utah,65
Oklahoma,65
Pennsylvania,63
Louisiana,61
Missouri,61
Washington,61
Colorado,61
Massachusetts,59
Kentucky,59
Kansas,59
Maine,56
Virginia,56
Indiana,56
Vermont,56
Minnesota,54
New York,54
Connecticut,54
Tennessee,54
Idaho,54
South Carolina,54
Arizona,54
Maryland,54
Montana,54
Alabama,52
Michigan,52
Wisconsin,52
Ohio,52
Nevada,52
North Carolina,52
New Jersey,50
Georgia,50
District of Columbia,50
New Hampshire,50
West Virginia,47
Illinois,47
Oregon,47
Iowa,45
New Mexico,45
Florida,43
California,43
Nebraska,40
Hawaii,40
Texas,38
Alaska,29
South Dakota,13
