Category: All categories

Region,Histrionic personality: (2013)
Montana,100
Arkansas,69
South Dakota,61
Alaska,57
North Dakota,49
Maine,49
Wyoming,45
Vermont,43
District of Columbia,42
Delaware,41
Louisiana,41
Minnesota,41
Nebraska,41
North Carolina,39
Pennsylvania,39
Tennessee,39
Alabama,39
Colorado,39
Massachusetts,38
Utah,38
Virginia,36
New Jersey,35
Rhode Island,34
Indiana,34
Hawaii,34
New Hampshire,34
Ohio,32
New Mexico,32
Connecticut,32
Oklahoma,32
Michigan,32
Kentucky,32
Washington,31
Missouri,31
Nevada,31
Florida,30
New York,30
Illinois,28
South Carolina,28
West Virginia,28
California,28
Mississippi,27
Arizona,27
Georgia,27
Texas,27
Maryland,26
Idaho,26
Oregon,26
Wisconsin,24
Kansas,23
Iowa,23
