Category: All categories

Region,guilty: (2013)
New York,100
Nevada,94
Hawaii,94
West Virginia,93
New Jersey,93
Delaware,92
District of Columbia,92
Rhode Island,91
South Carolina,91
Louisiana,91
Florida,91
California,91
Mississippi,90
Georgia,90
Alabama,89
Texas,88
Virginia,88
Arkansas,88
New Mexico,85
Massachusetts,85
Maryland,84
Idaho,83
Connecticut,83
Kentucky,82
Illinois,81
Wyoming,81
New Hampshire,80
Kansas,80
Oklahoma,80
Tennessee,80
Pennsylvania,79
Indiana,79
Alaska,79
Nebraska,77
Michigan,77
South Dakota,77
Arizona,77
North Carolina,76
Montana,75
Maine,74
Washington,74
Ohio,73
Iowa,71
Vermont,71
Missouri,71
Utah,68
Minnesota,68
Wisconsin,67
North Dakota,64
Colorado,64
Oregon,55
